,location,size,total_sqft,bath,price,bhk,price_per_sqft
144,7th Phase JP Nagar,2 BHK,1000.0,2,61.0,2,6100.0
145,7th Phase JP Nagar,3 BHK,1460.0,2,100.0,3,6849.315068
146,7th Phase JP Nagar,3 BHK,1650.0,3,110.0,3,6666.666667
147,7th Phase JP Nagar,2 BHK,1200.0,2,62.5,2,5208.333333
148,7th Phase JP Nagar,2 BHK,1000.0,2,70.65,2,7065.0
149,7th Phase JP Nagar,2 BHK,1080.0,2,75.0,2,6944.444444
151,7th Phase JP Nagar,3 BHK,1680.0,3,125.0,3,7440.47619
152,7th Phase JP Nagar,3 BHK,1460.0,2,97.0,3,6643.835616
153,7th Phase JP Nagar,2 BHK,1120.0,2,65.0,2,5803.571429
154,7th Phase JP Nagar,2 BHK,1100.0,3,60.0,2,5454.545455
155,7th Phase JP Nagar,3 BHK,1790.0,3,120.0,3,6703.910615
156,7th Phase JP Nagar,3 BHK,1680.0,3,117.0,3,6964.285714
157,7th Phase JP Nagar,2 BHK,1050.0,2,77.0,2,7333.333333
158,7th Phase JP Nagar,2 BHK,1050.0,2,75.0,2,7142.857143
159,7th Phase JP Nagar,2 BHK,1040.0,2,75.0,2,7211.538462
160,7th Phase JP Nagar,3 BHK,1400.0,2,95.0,3,6785.714286
161,7th Phase JP Nagar,3 BHK,1800.0,3,130.0,3,7222.222222
162,7th Phase JP Nagar,2 BHK,1050.0,2,68.0,2,6476.190476
163,7th Phase JP Nagar,2 BHK,1000.0,2,60.0,2,6000.0
164,7th Phase JP Nagar,3 BHK,1680.0,3,125.0,3,7440.47619
165,7th Phase JP Nagar,2 BHK,1050.0,2,77.47,2,7378.095238
166,7th Phase JP Nagar,2 BHK,1270.0,2,80.0,2,6299.212598
168,7th Phase JP Nagar,3 BHK,1680.0,3,122.0,3,7261.904762
169,7th Phase JP Nagar,2 BHK,1130.0,2,85.0,2,7522.123894
170,7th Phase JP Nagar,3 BHK,1680.0,3,130.0,3,7738.095238
171,7th Phase JP Nagar,2 BHK,980.0,2,77.44,2,7902.040816
172,7th Phase JP Nagar,3 BHK,1680.0,3,112.0,3,6666.666667
174,7th Phase JP Nagar,3 BHK,2095.0,3,150.0,3,7159.904535
175,7th Phase JP Nagar,3 BHK,1976.0,3,145.0,3,7338.05668
176,7th Phase JP Nagar,3 BHK,1600.0,2,110.0,3,6875.0
177,7th Phase JP Nagar,3 BHK,1765.0,3,118.0,3,6685.552408
178,7th Phase JP Nagar,3 BHK,1275.0,2,88.0,3,6901.960784
179,7th Phase JP Nagar,3 BHK,1450.0,2,102.0,3,7034.482759
180,7th Phase JP Nagar,3 BHK,1575.0,2,110.0,3,6984.126984
182,7th Phase JP Nagar,1 BHK,750.0,1,47.0,1,6266.666667
183,7th Phase JP Nagar,2 BHK,990.0,2,50.0,2,5050.505051
184,7th Phase JP Nagar,1 Bedroom,1000.0,1,60.0,1,6000.0
186,7th Phase JP Nagar,3 BHK,1430.0,2,102.0,3,7132.867133
187,7th Phase JP Nagar,2 BHK,1128.0,2,60.0,2,5319.148936
188,7th Phase JP Nagar,2 BHK,1140.0,2,57.0,2,5000.0
189,7th Phase JP Nagar,3 BHK,1420.0,3,90.0,3,6338.028169
190,7th Phase JP Nagar,2 BHK,1530.0,2,108.0,2,7058.823529
191,8th Phase JP Nagar,2 BHK,1073.5,2,54.005,2,5030.740568
192,8th Phase JP Nagar,1 BHK,451.0,1,29.9,1,6629.711752
194,8th Phase JP Nagar,2 BHK,1062.0,2,42.47,2,3999.05838
196,8th Phase JP Nagar,3 BHK,1455.0,3,73.31,3,5038.487973
197,8th Phase JP Nagar,2 BHK,871.0,2,55.0,2,6314.580941
198,8th Phase JP Nagar,2 BHK,1098.0,2,43.91,2,3999.089253
199,8th Phase JP Nagar,3 BHK,1800.0,3,80.0,3,4444.444444
200,8th Phase JP Nagar,4 Bedroom,2700.0,4,130.0,4,4814.814815
201,8th Phase JP Nagar,2 BHK,1080.0,2,38.0,2,3518.518519
202,8th Phase JP Nagar,2 BHK,1059.0,2,34.5,2,3257.790368
203,8th Phase JP Nagar,2 BHK,1080.0,2,35.0,2,3240.740741
205,8th Phase JP Nagar,2 BHK,1062.0,2,42.47,2,3999.05838
206,8th Phase JP Nagar,1 BHK,500.0,1,31.0,1,6200.0
207,8th Phase JP Nagar,2 BHK,1100.0,2,35.0,2,3181.818182
208,8th Phase JP Nagar,4 BHK,2100.0,4,92.0,4,4380.952381
209,8th Phase JP Nagar,2 BHK,1035.0,2,39.33,2,3800.0
210,8th Phase JP Nagar,2 BHK,909.0,2,40.9,2,4499.449945
211,8th Phase JP Nagar,3 BHK,1431.5,3,72.02,3,5031.086273
212,8th Phase JP Nagar,3 Bedroom,1900.0,4,90.0,3,4736.842105
213,8th Phase JP Nagar,1 BHK,500.0,1,30.0,1,6000.0
214,8th Phase JP Nagar,2 BHK,1125.0,2,36.94,2,3283.555556
215,8th Phase JP Nagar,2 BHK,1100.0,2,35.0,2,3181.818182
216,8th Phase JP Nagar,2 BHK,1089.0,2,43.55,2,3999.081726
218,8th Phase JP Nagar,3 BHK,1504.0,2,83.0,3,5518.617021
219,8th Phase JP Nagar,4 Bedroom,2600.0,4,115.0,4,4423.076923
221,8th Phase JP Nagar,2 BHK,1089.0,2,43.55,2,3999.081726
223,8th Phase JP Nagar,2 BHK,1513.0,2,62.0,2,4097.818903
224,8th Phase JP Nagar,2 BHK,1298.0,2,59.0,2,4545.454545
225,8th Phase JP Nagar,2 BHK,1006.0,2,44.0,2,4373.757455
226,8th Phase JP Nagar,1 BHK,500.0,1,33.0,1,6600.0
227,8th Phase JP Nagar,2 BHK,1160.0,2,95.0,2,8189.655172
228,8th Phase JP Nagar,2 BHK,1245.0,2,59.0,2,4738.955823
229,8th Phase JP Nagar,2 BHK,1510.0,2,80.0,2,5298.013245
230,8th Phase JP Nagar,3 BHK,3300.0,3,165.0,3,5000.0
231,8th Phase JP Nagar,5 Bedroom,1730.0,5,75.0,5,4335.260116
234,8th Phase JP Nagar,2 BHK,1046.0,2,48.0,2,4588.910134
236,8th Phase JP Nagar,3 BHK,1408.0,3,80.0,3,5681.818182
238,9th Phase JP Nagar,2 BHK,1005.0,2,50.0,2,4975.124378
240,9th Phase JP Nagar,2 BHK,1100.0,2,65.0,2,5909.090909
241,9th Phase JP Nagar,2 BHK,1080.0,2,37.0,2,3425.925926
242,9th Phase JP Nagar,2 BHK,1035.0,2,45.0,2,4347.826087
243,9th Phase JP Nagar,4 BHK,5000.0,4,290.0,4,5800.0
244,9th Phase JP Nagar,2 BHK,1164.0,2,56.0,2,4810.996564
245,9th Phase JP Nagar,2 BHK,1005.0,2,42.0,2,4179.104478
246,9th Phase JP Nagar,2 BHK,1127.0,2,50.0,2,4436.557232
247,9th Phase JP Nagar,2 BHK,1005.0,2,43.0,2,4278.606965
248,9th Phase JP Nagar,2 BHK,835.0,2,37.0,2,4431.137725
249,9th Phase JP Nagar,2 BHK,1050.0,2,39.0,2,3714.285714
250,9th Phase JP Nagar,2 BHK,660.0,2,27.0,2,4090.909091
251,9th Phase JP Nagar,1 BHK,600.0,1,20.0,1,3333.333333
252,9th Phase JP Nagar,2 BHK,1466.0,2,71.0,2,4843.110505
253,9th Phase JP Nagar,3 BHK,1890.0,2,93.0,3,4920.634921
254,9th Phase JP Nagar,2 BHK,1079.0,2,60.0,2,5560.704356
255,9th Phase JP Nagar,2 BHK,1480.0,2,80.0,2,5405.405405
256,9th Phase JP Nagar,2 Bedroom,1200.0,2,80.0,2,6666.666667
257,9th Phase JP Nagar,2 BHK,905.0,2,32.0,2,3535.911602
258,9th Phase JP Nagar,2 BHK,1073.0,2,52.36,2,4879.776328
259,9th Phase JP Nagar,3 BHK,1719.3,2,88.0,3,5118.362124
260,9th Phase JP Nagar,3 BHK,1780.0,3,88.0,3,4943.820225
262,9th Phase JP Nagar,3 BHK,1522.0,3,90.0,3,5913.272011
265,9th Phase JP Nagar,2 BHK,890.0,2,45.0,2,5056.179775
267,9th Phase JP Nagar,4 BHK,5000.0,4,300.0,4,6000.0
269,9th Phase JP Nagar,2 BHK,1050.0,2,35.0,2,3333.333333
270,9th Phase JP Nagar,2 BHK,1331.95,2,69.0,2,5180.374639
271,AECS Layout,2 BHK,1100.0,2,45.0,2,4090.909091
272,AECS Layout,2 BHK,1028.0,2,42.0,2,4085.603113
273,AECS Layout,2 BHK,1199.0,2,65.0,2,5421.18432
274,AECS Layout,2 BHK,1080.0,2,55.0,2,5092.592593
275,AECS Layout,2 BHK,1123.0,2,64.0,2,5699.020481
276,AECS Layout,2 BHK,1308.0,2,60.0,2,4587.155963
277,AECS Layout,2 BHK,1005.0,2,55.0,2,5472.636816
279,Abbigere,2 BHK,985.0,2,40.39,2,4100.507614
280,Abbigere,6 Bedroom,2200.0,6,68.0,6,3090.909091
281,Abbigere,1 BHK,765.0,2,30.0,1,3921.568627
282,Abbigere,2 BHK,880.0,2,35.0,2,3977.272727
283,Abbigere,2 BHK,795.0,2,32.54,2,4093.081761
284,Abbigere,2 BHK,1005.0,2,39.59,2,3939.303483
285,Abbigere,1 BHK,734.0,1,19.82,1,2700.27248
287,Abbigere,2 BHK,1020.0,2,41.82,2,4100.0
288,Abbigere,2 BHK,985.0,2,40.39,2,4100.507614
289,Abbigere,6 Bedroom,2500.0,6,81.0,6,3240.0
290,Abbigere,2 BHK,795.0,2,32.54,2,4093.081761
291,Abbigere,2 BHK,1130.0,2,46.33,2,4100.0
292,Abbigere,2 BHK,795.0,1,32.6,2,4100.628931
293,Abbigere,8 Bedroom,3000.0,8,150.0,8,5000.0
294,Abbigere,2 BHK,985.0,2,38.92,2,3951.269036
295,Abbigere,2 BHK,1000.0,2,41.0,2,4100.0
296,Abbigere,2 BHK,995.0,2,40.8,2,4100.502513
297,Abbigere,2 BHK,1020.0,2,40.8,2,4000.0
298,Akshaya Nagar,2 BHK,1388.0,2,57.0,2,4106.628242
299,Akshaya Nagar,2 BHK,1070.0,2,54.0,2,5046.728972
300,Akshaya Nagar,2 BHK,1280.0,2,58.0,2,4531.25
301,Akshaya Nagar,3 BHK,1662.0,3,85.1,3,5120.336943
302,Akshaya Nagar,3 BHK,1897.0,3,120.0,3,6325.777543
303,Akshaya Nagar,3 BHK,1410.0,2,75.0,3,5319.148936
304,Akshaya Nagar,3 BHK,1360.0,2,85.0,3,6250.0
306,Akshaya Nagar,3 BHK,1410.0,2,80.0,3,5673.758865
307,Akshaya Nagar,3 BHK,1662.0,3,85.0,3,5114.320096
308,Akshaya Nagar,3 BHK,1662.0,3,85.5,3,5144.404332
309,Akshaya Nagar,2 BHK,1280.0,2,60.0,2,4687.5
310,Akshaya Nagar,3 BHK,1666.0,3,95.0,3,5702.280912
311,Akshaya Nagar,3 BHK,1575.0,3,90.0,3,5714.285714
312,Akshaya Nagar,3 BHK,1430.0,2,75.0,3,5244.755245
313,Akshaya Nagar,3 BHK,1419.0,2,73.0,3,5144.467935
314,Akshaya Nagar,2 BHK,1280.0,2,60.0,2,4687.5
315,Akshaya Nagar,2 BHK,1200.0,2,50.0,2,4166.666667
316,Akshaya Nagar,2 BHK,1092.0,2,60.0,2,5494.505495
317,Akshaya Nagar,3 BHK,1690.0,3,85.0,3,5029.585799
319,Akshaya Nagar,3 BHK,1897.0,4,93.0,3,4902.477596
320,Akshaya Nagar,3 BHK,1884.0,3,98.0,3,5201.698514
321,Akshaya Nagar,2 BHK,1314.0,2,68.8,2,5235.920852
322,Akshaya Nagar,3 BHK,1690.0,3,85.0,3,5029.585799
323,Akshaya Nagar,2 BHK,1265.0,2,67.0,2,5296.442688
324,Akshaya Nagar,2 BHK,1126.0,2,55.0,2,4884.547069
326,Akshaya Nagar,3 BHK,1662.0,3,90.0,3,5415.162455
327,Akshaya Nagar,3 BHK,1420.0,2,75.0,3,5281.690141
328,Akshaya Nagar,3 BHK,1412.0,2,88.0,3,6232.294618
329,Akshaya Nagar,3 BHK,1434.0,3,84.0,3,5857.740586
330,Akshaya Nagar,3 BHK,1890.0,4,100.0,3,5291.005291
332,Akshaya Nagar,3 BHK,1419.0,2,87.0,3,6131.078224
333,Akshaya Nagar,2 BHK,1300.0,2,54.0,2,4153.846154
334,Akshaya Nagar,3 BHK,1690.0,3,85.0,3,5029.585799
335,Akshaya Nagar,2 BHK,1113.0,2,52.0,2,4672.057502
336,Akshaya Nagar,3 BHK,1820.0,4,95.0,3,5219.78022
337,Akshaya Nagar,2 BHK,1100.0,2,48.0,2,4363.636364
338,Akshaya Nagar,3 BHK,1896.0,3,102.0,3,5379.746835
339,Akshaya Nagar,2 BHK,1300.0,2,66.0,2,5076.923077
340,Akshaya Nagar,2 BHK,1225.0,2,68.0,2,5551.020408
341,Akshaya Nagar,2 BHK,1179.0,2,51.0,2,4325.699746
342,Akshaya Nagar,3 BHK,1421.0,2,73.0,3,5137.227305
343,Akshaya Nagar,3 BHK,1893.0,4,95.0,3,5018.489171
344,Akshaya Nagar,2 BHK,900.0,2,45.0,2,5000.0
345,Ambalipura,2 BHK,1105.0,2,75.0,2,6787.330317
346,Ambalipura,3 BHK,1800.0,3,110.0,3,6111.111111
347,Ambalipura,2 BHK,1150.0,2,80.0,2,6956.521739
348,Ambalipura,2 BHK,1250.0,2,66.25,2,5300.0
349,Ambalipura,2 BHK,1332.0,2,79.0,2,5930.930931
350,Ambalipura,3 BHK,1730.0,3,120.0,3,6936.416185
352,Ambalipura,2 BHK,1230.0,2,66.25,2,5386.178862
353,Ambalipura,2 BHK,1351.0,2,77.0,2,5699.481865
357,Ambalipura,2 BHK,1303.0,2,80.0,2,6139.677667
358,Ambalipura,3 BHK,1607.0,2,112.0,3,6969.508401
359,Ambalipura,1 BHK,770.0,1,43.82,1,5690.909091
360,Ambalipura,2 BHK,1700.0,2,76.0,2,4470.588235
361,Ambalipura,2 BHK,1060.0,2,58.5,2,5518.867925
362,Ambalipura,3 BHK,1650.0,3,100.0,3,6060.606061
363,Ambalipura,3 BHK,1607.0,2,112.0,3,6969.508401
364,Ambalipura,2 BHK,1198.0,2,80.0,2,6677.796327
365,Ambedkar Nagar,3 BHK,1935.0,4,130.0,3,6718.346253
366,Ambedkar Nagar,2 BHK,1424.0,2,90.0,2,6320.224719
367,Ambedkar Nagar,3 BHK,2225.0,4,169.0,3,7595.505618
368,Ambedkar Nagar,3 BHK,1862.0,3,120.0,3,6444.683136
369,Ambedkar Nagar,3 BHK,1850.0,4,139.0,3,7513.513514
370,Ambedkar Nagar,3 BHK,1936.0,4,126.0,3,6508.264463
371,Ambedkar Nagar,3 BHK,1862.0,3,119.0,3,6390.977444
372,Ambedkar Nagar,2 BHK,1424.0,2,90.0,2,6320.224719
373,Ambedkar Nagar,3 BHK,2150.0,4,125.0,3,5813.953488
374,Ambedkar Nagar,4 BHK,3530.0,4,290.0,4,8215.29745
375,Ambedkar Nagar,3 BHK,1856.0,3,120.0,3,6465.517241
376,Ambedkar Nagar,3 BHK,1852.0,3,130.0,3,7019.438445
377,Ambedkar Nagar,3 BHK,1850.0,4,120.0,3,6486.486486
378,Ambedkar Nagar,2 BHK,1367.0,2,86.0,2,6291.1485
379,Ambedkar Nagar,4 Bedroom,3565.0,4,255.0,4,7152.875175
380,Ambedkar Nagar,2 BHK,1409.0,2,95.0,2,6742.370476
381,Ambedkar Nagar,3 BHK,1950.0,4,120.0,3,6153.846154
382,Ambedkar Nagar,3 BHK,1921.0,4,129.0,3,6715.252473
383,Ambedkar Nagar,3 BHK,1920.0,4,121.0,3,6302.083333
384,Ambedkar Nagar,3 BHK,1935.0,4,125.0,3,6459.94832
385,Ambedkar Nagar,3 BHK,1852.0,4,122.0,3,6587.473002
386,Ambedkar Nagar,3 BHK,1950.0,4,120.0,3,6153.846154
387,Ambedkar Nagar,3 BHK,1852.0,3,125.0,3,6749.460043
388,Ambedkar Nagar,3 BHK,1850.0,4,121.0,3,6540.540541
389,Ambedkar Nagar,2 BHK,1425.0,2,94.0,2,6596.491228
390,Ambedkar Nagar,3 BHK,2395.0,4,150.0,3,6263.048017
391,Amruthahalli,2 BHK,900.0,2,40.0,2,4444.444444
392,Amruthahalli,2 BHK,1200.0,2,55.0,2,4583.333333
393,Amruthahalli,3 Bedroom,1900.0,3,135.0,3,7105.263158
394,Amruthahalli,2 BHK,924.0,2,45.0,2,4870.12987
395,Amruthahalli,2 BHK,900.0,2,60.0,2,6666.666667
396,Amruthahalli,2 BHK,1100.0,2,45.0,2,4090.909091
397,Amruthahalli,2 BHK,1200.0,2,55.0,2,4583.333333
401,Amruthahalli,3 BHK,1450.0,2,85.0,3,5862.068966
402,Amruthahalli,2 BHK,1200.0,2,55.0,2,4583.333333
403,Amruthahalli,2 BHK,1250.0,2,79.0,2,6320.0
404,Amruthahalli,2 BHK,1190.0,2,50.0,2,4201.680672
405,Amruthahalli,2 BHK,1202.0,2,65.0,2,5407.65391
406,Amruthahalli,2 BHK,1340.0,2,75.0,2,5597.014925
407,Amruthahalli,3 BHK,2650.0,4,175.0,3,6603.773585
408,Amruthahalli,3 BHK,1450.0,2,90.0,3,6206.896552
409,Amruthahalli,2 BHK,1025.0,2,42.0,2,4097.560976
410,Amruthahalli,1 BHK,485.0,1,19.5,1,4020.618557
411,Anandapura,2 BHK,1167.0,2,43.76,2,3749.785775
412,Anandapura,2 Bedroom,1000.0,2,55.0,2,5500.0
413,Anandapura,2 BHK,1141.0,2,42.79,2,3750.219106
415,Anandapura,2 Bedroom,1200.0,2,67.0,2,5583.333333
416,Anandapura,2 Bedroom,1200.0,2,58.0,2,4833.333333
417,Anandapura,2 BHK,1151.0,2,43.1,2,3744.569939
418,Anandapura,2 BHK,1141.0,2,42.75,2,3746.713409
419,Anandapura,2 Bedroom,900.0,2,48.0,2,5333.333333
420,Anandapura,4 Bedroom,1749.0,4,90.0,4,5145.797599
421,Anandapura,2 BHK,1151.0,2,42.9,2,3727.193745
423,Anandapura,2 BHK,1250.0,2,45.0,2,3600.0
424,Anandapura,2 BHK,1151.0,2,43.16,2,3749.782798
425,Anandapura,2 Bedroom,1200.0,2,58.0,2,4833.333333
426,Anandapura,3 Bedroom,1200.0,2,66.0,3,5500.0
