,location,size,total_sqft,bath,price,bhk,price_per_sqft
120,Hebbal,4 BHK,5611.5,4,477,4,8500.400962
121,Shampura,4 BHK,2650,4,150,4,5660.377358
122,Devanahalli,3 BHK,1282,2,68.52,3,5344.773791
123,Kadugodi,2 BHK,1050,2,34,2,3238.095238
124,LB Shastri Nagar,3 BHK,1600,3,65,3,4062.5
125,other,2 BHK,945,2,54,2,5714.285714
126,Hormavu,2 BHK,1500,2,78,2,5200
127,Vishwapriya Layout,7 Bedroom,950,7,115,7,12105.26316
128,other,3 BHK,1870,3,110,3,5882.352941
129,Sarjapur,3 Bedroom,1600,3,75,3,4687.5
130,Electronic City,2 BHK,880,1,16.5,2,1875
131,other,4 Bedroom,1200,4,210,4,17500
132,Kudlu Gate,3 BHK,1535,3,83,3,5407.166124
133,Kanakpura Road,2 BHK,950,2,57,2,6000
134,Devanahalli,2 BHK,1360,2,65,2,4779.411765
135,8th Phase JP Nagar,2 BHK,1073.5,2,54.005,2,5030.740568
136,Bommasandra Industrial Area,3 BHK,1280,3,50.4,3,3937.5
137,other,3 BHK,1260,2,85.05,3,6750
138,Hennur Road,8 Bedroom,5000,8,250,8,5000
139,Yelahanka,5 BHK,3050,5,213,5,6983.606557
140,Kasavanhalli,3 BHK,1563.05,3,105,3,6717.635392
141,ISRO Layout,2 BHK,1000,2,60,2,6000
142,Anandapura,2 BHK,1167,2,43.76,2,3749.785775
143,Vishveshwarya Layout,7 BHK,4000,7,225,7,5625
144,Kothanur,3 BHK,1828,3,110,3,6017.50547
145,Kengeri Satellite Town,2 BHK,890,2,35,2,3932.58427
146,other,3 BHK,1612,3,46.74,3,2899.503722
147,other,6 Bedroom,1034,5,185,6,17891.68279
148,Mysore Road,3 BHK,1710,4,91.31,3,5339.766082
149,Kannamangala,2 BHK,957,2,58,2,6060.606061
150,Devarachikkanahalli,3 BHK,1250,2,44,3,3520
151,other,3 BHK,2795,4,235,3,8407.871199
152,Hulimavu,2 BHK,1125,2,50,2,4444.444444
153,Electronic City Phase II,2 BHK,1020,2,30.6,2,3000
154,Kalena Agrahara,2 BHK,1200,2,50,2,4166.666667
155,Thanisandra,3 BHK,1735,3,135,3,7780.979827
156,Thanisandra,3 BHK,2050,3,145,3,7073.170732
157,Mahalakshmi Layout,4 Bedroom,3750,4,760,4,20266.66667
158,other,3 BHK,1350,2,48,3,3555.555556
159,Hosa Road,2 BHK,1063,2,32,2,3010.348071
160,other,3 BHK,1904,3,150,3,7878.151261
161,Whitefield,4 Bedroom,4200,4,420,4,10000
162,other,3 BHK,2000,3,175,3,8750
163,Sarjapur,2 BHK,1242.5,2,43.49,2,3500.201207
164,other,3 BHK,1425,2,75,3,5263.157895
165,Electronic City,3 BHK,1500,2,64.5,3,4300
166,Electronic City,2 BHK,1060,2,60,2,5660.377358
167,other,3 BHK,1470,2,70,3,4761.904762
168,other,6 BHK,1300,6,99,6,7615.384615
169,Attibele,1 BHK,450,1,11,1,2444.444444
170,Electronic City,2 BHK,1152,2,64.5,2,5598.958333
171,Electronic City,3 BHK,1350,2,56,3,4148.148148
172,CV Raman Nagar,3 BHK,1550,3,65,3,4193.548387
173,other,3 Bedroom,1500,3,100,3,6666.666667
174,Kumaraswami Layout,5 Bedroom,600,3,85,5,14166.66667
175,Nagavara,1 Bedroom,400,1,14,1,3500
176,Malleshwaram,1 BHK,705,1,67,1,9503.546099
177,Electronic City,2 BHK,770,1,36,2,4675.324675
178,Hulimavu,2 BHK,1242,2,51,2,4106.280193
179,Hebbal Kempapura,3 BHK,1700,3,155,3,9117.647059
180,Thanisandra,3 BHK,2144,3,145,3,6763.059701
181,Vijayanagar,3 BHK,1704,3,110,3,6455.399061
182,Electronic City,2 BHK,1070,2,52,2,4859.813084
183,other,3 Bedroom,1846,3,300,3,16251.35428
184,other,2 BHK,1340,2,55.7,2,4156.716418
185,Electronic City,2 BHK,1025,2,46,2,4487.804878
186,KR Puram,2 BHK,1277.5,2,56.8,2,4446.183953
187,Marathahalli,2 BHK,1200,2,52,2,4333.333333
188,Kanakpura Road,4 Bedroom,2250,4,110,4,4888.888889
189,Pattandur Agrahara,3 BHK,1550,2,80,3,5161.290323
190,Bellandur,4 Bedroom,1200,5,325,4,27083.33333
191,other,7 Bedroom,1800,7,250,7,13888.88889
192,Marathahalli,2 BHK,1200,2,60,2,5000
193,Yelahanka,2 BHK,1327,2,98,2,7385.079126
194,Kothanur,2 BHK,1186,2,58,2,4890.387858
195,other,3 Bedroom,1783,3,115,3,6449.803702
196,HSR Layout,3 BHK,1400,3,56,3,4000
197,Nagasandra,2 BHK,980,2,48,2,4897.959184
198,EPIP Zone,2 BHK,1285,2,82,2,6381.322957
199,other,3 BHK,912,2,70,3,7675.438596
200,Whitefield,2 BHK,1225,2,47.6,2,3885.714286
201,Whitefield,2 BHK,1075,2,53,2,4930.232558
202,Kadugodi,3 BHK,1260,2,54,3,4285.714286
203,Yelahanka,3 BHK,1282,2,48.7,3,3798.75195
204,Kogilu,3 BHK,1909,3,88,3,4609.743321
205,Panathur,2 BHK,1359,2,87,2,6401.766004
206,other,2 BHK,1207,2,43.5,2,3603.976802
207,Padmanabhanagar,4 Bedroom,1736,6,190,4,10944.70046
208,1st Block Jayanagar,4 BHK,2850,4,428,4,15017.54386
209,Kammasandra,3 BHK,1595,3,65,3,4075.23511
210,other,3 BHK,1798,3,89,3,4949.944383
211,Electronics City Phase 1,3 BHK,1475,3,78.29,3,5307.79661
212,other,3 BHK,1580,3,100,3,6329.113924
213,Dasarahalli,2 BHK,1295,2,65,2,5019.305019
214,Magadi Road,6 Bedroom,3600,6,141,6,3916.666667
215,Electronic City,1 BHK,589,1,27,1,4584.040747
216,other,3 BHK,1415,3,78,3,5512.367491
217,Sarjapur  Road,3 BHK,1787,3,98.29,3,5500.279799
218,Sarjapur  Road,3 BHK,1787,3,125,3,6994.963626
219,Koramangala,3 BHK,1475,2,90,3,6101.694915
220,other,4 BHK,2000,4,75.5,4,3775
221,Sarjapur  Road,2 BHK,984,2,44.28,2,4500
222,other,3 BHK,2405,4,260,3,10810.81081
223,7th Phase JP Nagar,2 BHK,1080,2,72,2,6666.666667
224,other,2 Bedroom,1500,2,115,2,7666.666667
225,Hebbal,3 BHK,1900,3,119,3,6263.157895
226,Dommasandra,2 BHK,805,2,22.14,2,2750.310559
227,Budigere,2 BHK,1153,2,56.4,2,4891.587164
228,other,2 BHK,1148,2,60,2,5226.480836
229,other,2 BHK,1110,2,55,2,4954.954955
230,Electronic City,2 BHK,1100,2,42,2,3818.181818
231,Kalyan nagar,2 BHK,1290,2,110,2,8527.131783
232,other,3 BHK,1500,2,65,3,4333.333333
233,other,2 BHK,1080,2,39,2,3611.111111
234,Vijayanagar,3 BHK,1933,3,129,3,6673.564408
235,Ramamurthy Nagar,5 Bedroom,3500,5,150,5,4285.714286
236,other,2 BHK,1060,2,60,2,5660.377358
237,Chandapura,1 BHK,645,1,16.45,1,2550.387597
238,other,8 Bedroom,2600,8,180,8,6923.076923
239,Chandapura,1 BHK,645,1,16.45,1,2550.387597
240,other,3 BHK,1644,3,84,3,5109.489051
241,other,2 BHK,1285,2,72.5,2,5642.023346
242,Electronic City,3 Bedroom,1200,3,90,3,7500
243,Electronic City,2 BHK,910,2,40,2,4395.604396
244,Kothanur,3 BHK,1577,3,70,3,4438.807863
245,other,3 Bedroom,4050,3,280,3,6913.580247
246,OMBR Layout,3 BHK,2420,3,185,3,7644.628099
247,Chandapura,2 BHK,800,1,20,2,2500
248,other,2 BHK,1060,2,55,2,5188.679245
249,7th Phase JP Nagar,2 BHK,1270,2,93,2,7322.834646
250,other,2 BHK,900,2,22.5,2,2500
251,other,2 Bedroom,1280,2,69,2,5390.625
252,Horamavu Agara,4 Bedroom,1200,2,95,4,7916.666667
253,Sarjapur  Road,2 BHK,1025,2,36,2,3512.195122
254,Electronic City,2 BHK,1108,2,63,2,5685.920578
255,other,5 Bedroom,1200,5,170,5,14166.66667
256,other,3 BHK,3045,3,170,3,5582.922824
257,Ambedkar Nagar,4 Bedroom,2900,3,300,4,10344.82759
258,Vijayanagar,3 BHK,1500,3,75.5,3,5033.333333
259,Raja Rajeshwari Nagar,2 BHK,1295,2,43.9,2,3389.96139
260,Budigere,2 BHK,1162,2,59.9,2,5154.905336
261,Sarjapur  Road,2 BHK,1035,2,49.2,2,4753.623188
262,Attibele,4 Bedroom,1600,4,52.8,4,3300
263,other,3 BHK,1464,3,46,3,3142.076503
264,Hennur Road,3 BHK,1866,2,61.58,3,3300.107181
265,other,2 BHK,700,1,26,2,3714.285714
266,Kalena Agrahara,3 BHK,1804,3,120,3,6651.884701
267,Sarjapur,2 BHK,913,2,32,2,3504.928806
268,Talaghattapura,3 BHK,1868,3,131,3,7012.847966
269,Kengeri Satellite Town,2 BHK,883,2,45,2,5096.262741
270,other,2 Bedroom,900,2,110,2,12222.22222
271,Kogilu,3 BHK,1664,2,73.95,3,4444.110577
272,Hegde Nagar,3 BHK,2026,3,132,3,6515.301086
273,Balagere,2 BHK,1210,2,80.9,2,6685.950413
274,other,4 Bedroom,4111,4,250,4,6081.245439
275,Kadugodi,3 BHK,1762,3,91.45,3,5190.124858
276,Jigani,3 BHK,1252,3,55,3,4392.971246
277,Gollarapalya Hosahalli,2 BHK,861,2,34.5,2,4006.968641
278,7th Phase JP Nagar,3 BHK,1420,2,100,3,7042.253521
279,other,6 Bedroom,1450,6,250,6,17241.37931
280,Electronics City Phase 1,3 BHK,1490,3,78.8,3,5288.590604
281,Bisuvanahalli,3 BHK,1075,2,46,3,4279.069767
282,Old Madras Road,3 BHK,1425,2,94,3,6596.491228
283,Kalena Agrahara,2 BHK,1200,2,40,2,3333.333333
284,Kaggadasapura,3 BHK,1280,2,56,3,4375
285,other,2 BHK,1084,2,50,2,4612.546125
286,Chandapura,2 BHK,1015,2,25.88,2,2549.753695
287,Kanakpura Road,2 BHK,1017,2,51.25,2,5039.331367
288,Haralur Road,2 BHK,1027,2,44,2,4284.323272
289,Electronic City Phase II,2 BHK,1069,2,45,2,4209.541628
290,Hebbal,2 BHK,1349,2,98.2,2,7279.466271
291,9th Phase JP Nagar,2 BHK,1005,2,50,2,4975.124378
292,Jakkur,2 BHK,1417,2,75,2,5292.872265
293,TC Palaya,3 Bedroom,1475,3,98,3,6644.067797
294,other,2 BHK,950,2,47,2,4947.368421
295,other,4 BHK,2000,4,120,4,6000
296,Giri Nagar,3 Bedroom,880,3,140,3,15909.09091
297,Sarjapur  Road,4 BHK,1863,3,104,4,5582.393988
298,Singasandra,2 BHK,1010,2,29.5,2,2920.792079
299,Kalena Agrahara,3 BHK,1425,2,70,3,4912.280702
300,Vijayanagar,3 BHK,1450,3,100,3,6896.551724
301,Kothanur,3 BHK,1847,3,105,3,5684.894423
302,AECS Layout,2 BHK,1100,2,45,2,4090.909091
303,Kanakpura Road,1 BHK,525,1,26,1,4952.380952
304,Mallasandra,3 BHK,1665,3,95,3,5705.705706
305,Begur,4 BHK,1664,4,65,4,3906.25
306,JP Nagar,3 BHK,1850,3,150,3,8108.108108
307,Panathur,2 BHK,1438,2,100,2,6954.102921
308,other,3 BHK,1560,3,115,3,7371.794872
309,Yelahanka,2 BHK,1350,2,55.55,2,4114.814815
310,Kanakpura Road,3 BHK,1550,3,67,3,4322.580645
311,Malleshpalya,2 BHK,1140,2,46.5,2,4078.947368
312,other,5 Bedroom,1200,5,180,5,15000
313,other,2 BHK,850,2,27,2,3176.470588
314,Whitefield,2 BHK,1280,2,75,2,5859.375
315,Munnekollal,2 BHK,1170,2,52,2,4444.444444
316,other,2 BHK,1113,2,51,2,4582.210243
317,Hennur Road,2 BHK,1385,2,83.09,2,5999.277978
318,Electronic City,2 BHK,1128,2,65,2,5762.411348
319,Marathahalli,2 Bedroom,1200,2,128,2,10666.66667
320,other,4 Bedroom,1200,4,165,4,13750
321,Rajaji Nagar,3 BHK,2390,3,415,3,17364.01674
322,Giri Nagar,4 Bedroom,2400,4,400,4,16666.66667
323,Haralur Road,3 BHK,1464,3,56,3,3825.136612
324,other,2 BHK,1200,2,55,2,4583.333333
325,Kaval Byrasandra,2 BHK,1200,2,52,2,4333.333333
326,Kaggalipura,3 BHK,1150,2,55,3,4782.608696
327,other,3 BHK,1645,3,95,3,5775.075988
328,Sarjapur  Road,2 BHK,1000,2,67,2,6700
329,Haralur Road,4 Bedroom,2650,4,198,4,7471.698113
330,6th Phase JP Nagar,2 BHK,1192,2,74,2,6208.053691
331,Ulsoor,3 BHK,2135,3,215,3,10070.25761
332,Whitefield,2 BHK,1173,2,58,2,4944.58653
333,Uttarahalli,2 BHK,1020,2,45,2,4411.764706
334,Thigalarapalya,4 BHK,3122,6,230,4,7367.072389
335,Somasundara Palya,3 BHK,1600,3,64,3,4000
336,other,2 Bedroom,1200,2,79,2,6583.333333
337,other,2 BHK,1230,2,48,2,3902.439024
338,Devarachikkanahalli,2 BHK,1250,2,40,2,3200
339,Kalena Agrahara,2 BHK,1325,2,76,2,5735.849057
340,7th Phase JP Nagar,3 BHK,1850,3,150,3,8108.108108
341,Basaveshwara Nagar,2 BHK,1200,2,65,2,5416.666667
342,other,3 Bedroom,1350,2,140,3,10370.37037
343,Bommasandra,3 BHK,1260,3,49.36,3,3917.460317
344,other,3 BHK,1800,3,150,3,8333.333333
345,other,3 Bedroom,11,3,74,3,672727.2727
346,Ardendale,2 BHK,1100,2,43.25,2,3931.818182
347,Harlur,2 BHK,1508,2,77,2,5106.100796
348,other,3 BHK,1592,3,75,3,4711.055276
349,Akshaya Nagar,2 BHK,1388,2,57,2,4106.628242
350,Electronic City Phase II,1 BHK,630,1,28.35,1,4500
351,other,3 Bedroom,2000,3,365,3,18250
352,other,3 BHK,1762,3,125,3,7094.211124
353,other,2 BHK,950,2,50,2,5263.157895
354,Kodihalli,4 BHK,3252,5,335,4,10301.35301
355,Magadi Road,2 BHK,1116,2,50,2,4480.286738
356,Narayanapura,2 BHK,1308,2,89.04,2,6807.33945
357,other,3 BHK,1200,3,90,3,7500
358,other,4 Bedroom,1500,4,230,4,15333.33333
359,Bannerghatta Road,1 BHK,500,1,18.5,1,3700
360,Hennur,2 BHK,1075,2,52,2,4837.209302
361,Chandapura,1 BHK,530,1,11.66,1,2200
362,Bellandur,2 BHK,1205,2,66,2,5477.178423
363,5th Phase JP Nagar,2 BHK,1075,2,60,2,5581.395349
364,KR Puram,2 BHK,930,2,39,2,4193.548387
365,Balagere,2 BHK,1380,2,60,2,4347.826087
366,Hebbal,4 BHK,2483,5,212,4,8538.0588
367,Kodigehaali,2 BHK,1166,2,55,2,4716.981132
368,Bannerghatta Road,2 BHK,1050,2,65,2,6190.47619
369,other,3 BHK,2023.71,3,275,3,13588.90355
370,Begur Road,2 BHK,1200,2,46.8,2,3900
371,Lakshminarayana Pura,3 BHK,1600,2,108,3,6750
372,Billekahalli,3 BHK,1935,3,110,3,5684.754522
373,8th Phase JP Nagar,1 BHK,451,1,29.9,1,6629.711752
374,Electronic City,3 BHK,1800,3,95,3,5277.777778
375,Jalahalli,3 BHK,1400,3,77,3,5500
376,Hegde Nagar,3 BHK,1801,3,115,3,6385.341477
377,Mahadevpura,2 BHK,1451,2,90,2,6202.618884
378,Anekal,2 Bedroom,1200,1,36,2,3000
379,Begur Road,2 BHK,1160,2,44,2,3793.103448
380,Kengeri,2 BHK,1000,2,25,2,2500
381,Kanakpura Road,2 BHK,950,2,40,2,4210.526316
382,other,3 BHK,1629,3,79,3,4849.600982
383,Vijayanagar,3 BHK,1580,2,134,3,8481.012658
384,Vijayanagar,3 BHK,1826,3,121,3,6626.506024
385,7th Phase JP Nagar,2 BHK,1245,2,94,2,7550.200803
386,Raja Rajeshwari Nagar,2 BHK,1145,2,45.79,2,3999.126638
387,Sompura,2 BHK,825,2,33,2,4000
388,Yeshwanthpur,3 BHK,1693,3,108,3,6379.208506
389,Electronics City Phase 1,2 BHK,1113.27,2,53,2,4760.749863
390,other,2 BHK,1460,2,58,2,3972.60274
391,Doddathoguru,2 BHK,1050,2,32,2,3047.619048
392,Dodda Nekkundi,2 BHK,1260,2,55,2,4365.079365
393,other,6 BHK,700,3,120,6,17142.85714
394,Hosur Road,2 BHK,1656,2,120,2,7246.376812
395,Chandapura,3 BHK,1208,3,45,3,3725.165563
396,Whitefield,3 BHK,1910,3,161,3,8429.319372
397,Whitefield,4 BHK,3252,4,230,4,7072.570726
398,Battarahalli,2 Bedroom,1200,2,65,2,5416.666667
399,other,4 BHK,1200,4,175,4,14583.33333
400,7th Phase JP Nagar,2 BHK,1175,2,82,2,6978.723404
401,other,2 Bedroom,1000,2,165,2,16500
402,Bannerghatta Road,4 Bedroom,1200,2,125,4,10416.66667
403,Rajaji Nagar,3 BHK,2390,3,410,3,17154.81172
404,Rajaji Nagar,7 BHK,12000,6,2200,7,18333.33333
405,Sultan Palaya,2 Bedroom,550,1,62,2,11272.72727
406,Kengeri,1 BHK,,1,18.5,1,
407,other,2 BHK,1185,2,38,2,3206.751055
408,Kengeri,2 BHK,750,2,38,2,5066.666667
409,Mahalakshmi Layout,6 Bedroom,1200,7,250,6,20833.33333
410,Kanakpura Road,3 BHK,1550,3,64.5,3,4161.290323
411,other,3 BHK,1760,3,88,3,5000
412,Billekahalli,2 BHK,1125,2,62,2,5511.111111
413,Nagarbhavi,3 Bedroom,1350,3,150,3,11111.11111
414,Anandapura,2 Bedroom,1000,2,55,2,5500
415,Bommasandra Industrial Area,2 BHK,1090,2,31.48,2,2888.073394
416,TC Palaya,2 Bedroom,1200,2,60,2,5000
417,Budigere,3 BHK,1991,4,103,3,5173.279759
418,Bommasandra,2 BHK,1060,2,26.5,2,2500
419,Ambalipura,2 BHK,1105,2,75,2,6787.330317
420,Hoodi,2 BHK,985,2,67,2,6802.030457
421,Chandapura,6 Bedroom,1533,5,85,6,5544.683627
422,Balagere,3 BHK,1590,3,79,3,4968.553459
423,CV Raman Nagar,2 BHK,1120,2,55,2,4910.714286
424,other,2 BHK,1069,2,55,2,5144.995323
425,Marathahalli,3 BHK,1933,3,140,3,7242.628039
426,Hosur Road,2 BHK,1194,2,69,2,5778.894472
427,Brookefield,2 BHK,1150,2,69,2,6000
428,Yelenahalli,2 BHK,1240,2,47.12,2,3800
429,Raja Rajeshwari Nagar,2 BHK,1419,2,48.1,2,3389.711064
430,7th Phase JP Nagar,8 Bedroom,1200,8,250,8,20833.33333
431,other,3 BHK,2150,4,240,3,11162.7907
432,other,3 BHK,1450,3,55,3,3793.103448
433,other,3 BHK,1630,3,68.29,3,4189.570552
434,Dasanapura,2 BHK,708,1,40,2,5649.717514
435,Kasavanhalli,3 Bedroom,1000,4,110,3,11000
436,Whitefield,4 Bedroom,11890,4,700,4,5887.300252
437,Bellandur,2 BHK,1250,2,76,2,6080
438,7th Phase JP Nagar,3 BHK,1400,2,95,3,6785.714286
439,Sarjapur  Road,3 BHK,1670,2,57,3,3413.173653
440,Ardendale,3 BHK,1750,3,100,3,5714.285714
441,Vittasandra,2 BHK,1404,2,71,2,5056.980057
442,Hoodi,3 BHK,1715,2,95,3,5539.358601
443,Electronic City,1 BHK,630,1,34.65,1,5500
444,Harlur,3 BHK,1752.12,3,135,3,7704.951716
445,Hulimavu,3 BHK,1650,3,78,3,4727.272727
446,Raja Rajeshwari Nagar,2 BHK,1295,2,55.47,2,4283.397683
447,Giri Nagar,3 Bedroom,1800,3,252,3,14000
448,Sarjapur  Road,2 BHK,1346,2,74.03,2,5500
449,other,4 Bedroom,1200,4,200,4,16666.66667
450,Hormavu,2 BHK,1150,2,55,2,4782.608696
451,other,4 Bedroom,3309,4,325,4,9821.698398
452,Chandapura,3 BHK,1190,2,30.35,3,2550.420168
453,AECS Layout,3 BHK,1620,3,98,3,6049.382716
454,Marathahalli,2 BHK,950,2,46.96,2,4943.157895
455,other,11 BHK,5000,9,360,11,7200
456,Harlur,3 BHK,2450,3,120,3,4897.959184
457,Electronic City Phase II,3 BHK,1220,2,35.23,3,2887.704918
458,other,2 BHK,850,2,30,2,3529.411765
459,Padmanabhanagar,2 BHK,1020,2,63,2,6176.470588
460,Chikkalasandra,2 BHK,1100,2,50,2,4545.454545
461,other,2 BHK,1150,2,126,2,10956.52174
462,Hebbal,3 BHK,1760,2,130,3,7386.363636
463,Ambalipura,3 BHK,1800,3,110,3,6111.111111
464,Akshaya Nagar,2 BHK,1070,2,54,2,5046.728972
465,2nd Stage Nagarbhavi,4 Bedroom,1500,4,220,4,14666.66667
466,Vidyaranyapura,2 Bedroom,1440,2,95,2,6597.222222
